event,store_nbr,family,method,actual,counterfactual,absolute_impact,relative_impact,weeks
November 2015 Promotion,44,GROCERY I,OLS Counterfactual,368070.0,350703.1884960366,17366.81150396343,0.04951997037278062,5
April 2016 Earthquake,44,GROCERY I,Forecast vs Actual,725765.0,597662.5760296313,128102.42397036869,0.21433904197477732,8
April 2016 Earthquake,45,BEVERAGES,Forecast vs Actual,554120.0,525166.1386661279,28953.861333872075,0.05513276504728985,8
April 2016 Earthquake,47,CLEANING,Forecast vs Actual,139017.0,146314.75790453475,-7297.757904534752,-0.04987711430514947,8
April 2016 Earthquake,3,DAIRY,Forecast vs Actual,153566.0,154650.20903120114,-1084.2090312011424,-0.007010718174861309,8
April 2016 Earthquake,46,MEATS,Forecast vs Actual,65129.28904,73132.58725493492,-8003.298214934912,-0.10943545846444612,8
